isin,fund,amfi,json,category,rta_code,amfi_code,type
INF090I01171,Franklin India BLUECHIP FUND - GROWTH,Franklin India Bluechip Fund-Growth,Franklin India Bluechip Fund - Growth,EQUITY,38,100471,payout/growth
INF090I01DJ0,Franklin India Corporate Debt Fund - Plan A - Monthly Dividend Payout,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,Franklin India Corporate Debt Fund - Plan A - Monthly - IDCW - Payout,DEBT,39,100529,payout/growth
INF090I01DK8,Franklin India Corporate Debt Fund - Plan A - Monthly Dividend Reinvestment,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,Franklin India Corporate Debt Fund - Plan A - Monthly - IDCW - Reinvestment,DEBT,39,100529,reinvest
INF090I01DL6,Franklin India Corporate Debt Fund - Plan A - Quarterly Dividend Payout,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,Franklin India Corporate Debt Fund - Plan A - Quarterly - IDCW - Payout,DEBT,40,100530,payout/growth
INF090I01DM4,Franklin India Corporate Debt Fund - Plan A - Quarterly Dividend Reinvestment,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,Franklin India Corporate Debt Fund - Plan A - Quarterly - IDCW - Reinvestment,DEBT,40,100530,reinvest
INF090I01DN2,Franklin India Corporate Debt Fund - Plan A - HALF YEARLY DIVIDEND Payout,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,Franklin India Corporate Debt Fund - Plan A - Half Yearly - IDCW - Payout,DEBT,41,100531,payout/growth
INF090I01DO0,Franklin India Corporate Debt Fund - Plan A - HALF YEARLY DIVIDEND reinvestment,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,Franklin India Corporate Debt Fund - Plan A - Half Yearly - IDCW - Reinvestment,DEBT,41,100531,reinvest
INF090I01BI6,Franklin India Liquid Fund - Regular Plan - WEEKLY DIVIDEND Reinvestment,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW - Reinvestment,DEBT,42,100537,reinvest
INF090I01BL0,Franklin India Liquid Fund - Regular Plan - WEEKLY DIVIDEND Payout,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW - Payout,DEBT,42,100537,payout/growth
INF090I01817,Franklin India Equity Hybrid Fund - GROWTH,Franklin India Equity Hybrid Fund - Growth Plan,Franklin India Equity Hybrid Fund - Growth,EQUITY,45,100550,payout/growth
INF090I01825,Franklin India Equity Hybrid Fund - Dividend Payout,Franklin India Equity Hybrid Fund - IDCW,Franklin India Equity Hybrid Fund - IDCW - Payout,EQUITY,46,100549,payout/growth
INF090I01833,Franklin India Equity Hybrid Fund - Dividend Reinvestment,Franklin India Equity Hybrid Fund - IDCW,Franklin India Equity Hybrid Fund - IDCW - Reinvestment,EQUITY,46,100549,reinvest
INF090I01841,Franklin INDIA OPPORTUNITIES FUND - GROWTH,Franklin India Opportunities Fund - Growth,Franklin India Opportunities Fund - Growth,EQUITY,47,103151,payout/growth
INF090I01858,Franklin INDIA OPPORTUNITIES FUND - Dividend Payout,Franklin INDIA OPPORTUNITIES FUND - IDCW,Franklin India Opportunities Fund - IDCW - Payout,EQUITY,48,100524,payout/growth
INF090I01866,Franklin INDIA OPPORTUNITIES FUND - Dividend Reinvestment,Franklin INDIA OPPORTUNITIES FUND - IDCW,Franklin India Opportunities Fund - IDCW - Reinvestment,EQUITY,48,100524,reinvest
INF090I01EH2,Franklin India Debt Hybrid Fund - Plan B - GROWTH,*** Franklin India Debt Hybrid Fund - Growth ***,Franklin India Debt Hybrid Fund - Plan B - GROWTH,DEBT,53,100948,
INF090I01EI0,Franklin India Debt Hybrid Fund - Plan B - Monthly Dividend Payout,*** Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW ***,Franklin India Debt Hybrid Fund - Plan B - Monthly Dividend Payout,DEBT,54,100949,
INF090I01EJ8,Franklin India Debt Hybrid Fund - Plan B - Monthly Dividend Reinvestment,*** Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW ***,Franklin India Debt Hybrid Fund - Plan B - Monthly Dividend Reinvestment,DEBT,54,100949,
INF090I01EK6,Franklin India Debt Hybrid Fund - Plan B - Quarterly Dividend Payout,*** Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW ***,Franklin India Debt Hybrid Fund - Plan B - Quarterly Dividend Payout,DEBT,55,100950,
INF090I01EL4,Franklin India Debt Hybrid Fund - Plan B - Quarterly Dividend Reinvestment,*** Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW ***,Franklin India Debt Hybrid Fund - Plan B - Quarterly Dividend Reinvestment,DEBT,55,100950,
INF090I01DS1,Franklin India Corporate Debt Fund - Plan B - Monthly Dividend Payout,*** Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW ***,Franklin India Corporate Debt Fund - Plan B - Monthly Dividend Payout,DEBT,60,100529,
INF090I01DT9,Franklin India Corporate Debt Fund - Plan B - Monthly Dividend Reinvestment,*** Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW ***,Franklin India Corporate Debt Fund - Plan B - Monthly Dividend Reinvestment,DEBT,60,100529,
INF090I01DU7,Franklin India Corporate Debt Fund - Plan B - Quarterly Dividend Payout,*** Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW ***,Franklin India Corporate Debt Fund - Plan B - Quarterly Dividend Payout,DEBT,61,100530,
INF090I01DV5,Franklin India Corporate Debt Fund - Plan B - Quarterly Dividend Reinvestment,*** Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW ***,Franklin India Corporate Debt Fund - Plan B - Quarterly Dividend Reinvestment,DEBT,61,100530,
INF090I01DW3,Franklin India Corporate Debt Fund - Plan B - HALF YEARLY DIVIDEND Payout,*** Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW ***,Franklin India Corporate Debt Fund - Plan B - HALF YEARLY DIVIDEND Payout,DEBT,62,100531,
INF090I01DX1,Franklin India Corporate Debt Fund - Plan B - HALF YEARLY DIVIDEND reinvestment,*** Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW ***,Franklin India Corporate Debt Fund - Plan B - HALF YEARLY DIVIDEND reinvestment,DEBT,62,100531,
INF090I01EA7,Franklin India Debt Hybrid Fund - Plan A - GROWTH,Franklin India Debt Hybrid Fund - Growth,Franklin India Debt Hybrid Fund - Plan A - Growth,EQUITY,63,100948,payout/growth
INF090I01EB5,Franklin India Debt Hybrid Fund - Plan A - Monthly Dividend Payout,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW - Payout,EQUITY,64,100949,payout/growth
INF090I01EC3,Franklin India Debt Hybrid Fund - Plan A - Monthly Dividend Reinvestment,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Monthly - IDCW - Reinvestment,EQUITY,64,100949,reinvest
INF090I01ED1,Franklin India Debt Hybrid Fund - Plan A - Quarterly Dividend Payout,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW - Payout,EQUITY,65,100950,payout/growth
INF090I01EE9,Franklin India Debt Hybrid Fund - Plan A - Quarterly Dividend Reinvestment,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW,Franklin India Debt Hybrid Fund - Plan A - Quarterly - IDCW - Reinvestment,EQUITY,65,100950,reinvest
INF090I01304,Franklin India Short Term Income Plan - Retail Plan - GROWTH,Franklin India Short-Term Income Plan-Growth,Franklin India Short Term Income Plan - Retail Plan - Growth,DEBT,104,101232,payout/growth
INF090I01312,Franklin India Short Term Income Plan - Retail Plan - QUARTERLY DIVIDEND PAYOUT,Franklin India Short Term Income Plan - Retail Plan - Quarterly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Quarterly - IDCW - Payout,DEBT,105,101238,payout/growth
INF090I01320,Franklin India Short Term Income Plan - Retail Plan - QUARTERLY DIVIDEND REINVESTMENT,Franklin India Short Term Income Plan - Retail Plan - Quarterly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Quarterly - IDCW - Reinvestment,DEBT,105,101238,reinvest
INF090I01338,Franklin India Short Term Income Plan - Retail Plan - MONTHLY DIVIDEND PAYOUT,Franklin India Short Term Income Plan - Retail Plan - Monthly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Monthly - IDCW - Payout,DEBT,106,101236,payout/growth
INF090I01346,Franklin India Short Term Income Plan - Retail Plan - MONTHLY DIVIDEND REINVESTMENT,Franklin India Short Term Income Plan - Retail Plan - Monthly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Monthly - IDCW - Reinvestment,DEBT,106,101236,reinvest
INF090I01353,Franklin India Short Term Income Plan - Retail Plan - WEEKLY DIVIDEND REINVESTMENT,Franklin India Short Term Income Plan - Retail Plan - Weekly - IDCW,Franklin India Short Term Income Plan - Retail Plan - Weekly - IDCW - Reinvestment,DEBT,107,101242,reinvest
INF090I01DC5,Franklin India Income Builder Account Growth Plan A - Bonus 1 - BONUS,Franklin India Corporate Debt Fund - Monthly Bonus,,,,100532,payout/growth
INF090I01DD3,Franklin India Income Builder Account Growth Plan A - Bonus 2 - BONUS,,,,,,
INF090I01DY9,Franklin India Short Term Income Plan - Retail Plan - BONUS 1,Franklin India Short-Term Income Plan-Weekly Bonus,,,,101237,payout/growth
ISIN00000152,Franklin India Short Term Income Plan - Retail Plan - BONUS,,,,,,
INF090I01DZ6,Franklin India Short Term Income Plan - Retail Plan - BONUS 2,,,,,,
ISIN00000154,Franklin India Short Term Income Plan - Retail Plan - BONUS,,,,,,
INF090I01DE1,Franklin India Income Builder Account Growth Plan B - Bonus 1 - BONUS,,,,,,
INF090I01DF8,Franklin India Income Builder Account Growth Plan B - Bonus 2 - BONUS,,,,,,
INF090I01EF6,Franklin India Monthly Income Plan - Plan A - Bonus 1 - BONUS,,,,,,
INF090I01EG4,Franklin India Monthly Income Plan - Plan A - Bonus 2 - BONUS,,,,,,
INF090I01EM2,Franklin India Monthly Income Plan - Plan B - Bonus 1 - BONUS,,,,,,
INF090I01EN0,Franklin India Monthly Income Plan - Plan B - Bonus 2 - BONUS,,,,,,
INF090I01LN5,Franklin India Floating Rate Fund - DIVIDEND REINVESTMENT,Franklin India Floating Rate Fund - IDCW,Franklin India Floating Rate Fund - IDCW Reinvestment,DEBT,144,101044,reinvest
INF090I01LM7,Franklin India Floating Rate Fund - GROWTH,Franklin India Floating Rate Fund - Growth Plan,Franklin India Floating Rate Fund - Growth,DEBT,145,101048,payout/growth
INF090I01874,Franklin India INDEX FUND NIFTY PLAN - Dividend Payout,Franklin India INDEX FUND NIFTY PLAN - IDCW,Franklin India Index Fund Nifty Plan - IDCW - Payout,EQUITY,151,105067,payout/growth
INF090I01882,Franklin India INDEX FUND NIFTY PLAN - Dividend Reinvestment,Franklin India INDEX FUND NIFTY PLAN - IDCW,Franklin India Index Fund Nifty Plan - IDCW - Reinvestment,EQUITY,151,105067,reinvest
INF090I01BZ0,Franklin India Savings Fund Retail Option - Dividend Payout,Franklin India Savings Fund Retail Option - Quarterly - IDCW,Franklin India Savings Fund Retail Option - Quarterly - IDCW - Payout,DEBT,152,101356,payout/growth
INF090I01BY3,Franklin India Savings Fund Retail Option - Dividend Reinvestment,Franklin India Savings Fund Retail Option - Quarterly - IDCW,Franklin India Savings Fund Retail Option - Quarterly - IDCW - Reinvestment,DEBT,152,101356,reinvest
INF090I01270,Templeton India Value Fund - DIVIDEND PAYOUT,Templeton India Value Fund - IDCW,Templeton India Value Fund - IDCW - Payout,EQUITY,154,100497,payout/growth
INF090I01288,Templeton India Value Fund - DIVIDEND REINVESTMENT,Templeton India Value Fund - IDCW,Templeton India Value Fund - IDCW - Reinvestment,EQUITY,154,100497,reinvest
INF090I01BN6,Franklin India Income Fund - Dividend Payout,Franklin India Dynamic Accrual Fund - IDCW,Franklin India Dynamic Accrual Fund - IDCW - Payout,DEBT,155,100498,payout/growth
INF090I01BO4,Franklin India Income Fund - Dividend Reinvestment,Franklin India Dynamic Accrual Fund - IDCW,Franklin India Dynamic Accrual Fund - IDCW - Reinvestment,DEBT,155,100498,reinvest
INF090I01BP1,Franklin India Income Fund - Growth,Franklin India Dynamic Accrual Fund-Growth,Franklin India Dynamic Accrual Fund - Growth,DEBT,156,100499,payout/growth
INF090I01BQ9,Franklin India Low Duration Fund - Monthly Dividend Payout,Franklin India Low Duration Fund - Monthly - IDCW,Franklin India Low Duration Fund - Monthly - IDCW - Payout,DEBT,162,100503,payout/growth
INF090I01BR7,Franklin India Low Duration Fund - Monthly Dividend Reinvestment,Franklin India Low Duration Fund - Monthly - IDCW,Franklin India Low Duration Fund - Monthly - IDCW - Reinvestment,DEBT,162,100503,reinvest
INF090I01BS5,Franklin India Low Duration Fund - Quarterly Dividend Payout,Franklin India Low Duration Fund - Quarterly - IDCW,Franklin India Low Duration Fund - Quarterly - IDCW - Payout,DEBT,163,100504,payout/growth
INF090I01BT3,Franklin India Low Duration Fund - Quarterly Dividend Reinvestment,Franklin India Low Duration Fund - Quarterly - IDCW,Franklin India Low Duration Fund - Quarterly - IDCW - Reinvestment,DEBT,163,100504,reinvest
INF090I01CP9,Franklin India Government Securities Fund - Dividend Payout,,Franklin India Government Securities Fund - Dividend Payout,DEBT,64,100486,
